ft_id,account_id,period_id,tax_type_cd,ft_type_cd,amount,currency_cd,ft_date,status
FT0000001,ACCT0001,PER202410,CIT,BILL,450308.97,KES,2024-10-01,FROZEN
FT0000002,ACCT0001,PER202410,CIT,PAY,-292134.96,KES,2024-10-05,FROZEN
FT0000003,ACCT0001,PER202404,CIT,BILL,118906.79,KES,2024-04-01,FROZEN
FT0000004,ACCT0001,PER202404,CIT,PAY,-64518.33,KES,2024-05-11,FROZEN
FT0000005,ACCT0001,PER202404,CIT,PEN,6746.78,KES,2024-05-21,FROZEN
FT0000006,ACCT0001,PER202404,CIT,ADJ,-4032.64,KES,2024-04-30,FROZEN
FT0000007,ACCT0001,PER202302,CIT,BILL,259507.28,KES,2023-02-01,FROZEN
FT0000008,ACCT0001,PER202302,CIT,PAY,-205334.8,KES,2023-03-07,FROZEN
FT0000009,ACCT0001,PER202302,CIT,PEN,37252.64,KES,2023-03-21,FROZEN
FT0000010,ACCT0001,PER202301,CIT,BILL,238972.16,KES,2023-01-01,FROZEN
FT0000011,ACCT0001,PER202308,CIT,BILL,52980.75,KES,2023-08-01,FROZEN
FT0000012,ACCT0001,PER202308,CIT,PAY,-39955.28,KES,2023-08-30,FROZEN
FT0000013,ACCT0001,PER202308,CIT,ADJ,1626.04,KES,2023-08-31,FROZEN
FT0000014,ACCT0001,PER202409,CIT,BILL,324858.98,KES,2024-09-01,FROZEN
FT0000015,ACCT0001,PER202409,CIT,PAY,-304369.52,KES,2024-09-07,FROZEN
FT0000016,ACCT0001,PER202310,CIT,BILL,227063.71,KES,2023-10-01,FROZEN
FT0000017,ACCT0001,PER202310,CIT,PAY,-151480.35,KES,2023-10-16,FROZEN
FT0000018,ACCT0001,PER202310,CIT,ADJ,13988.13,KES,2023-10-31,FROZEN
FT0000019,ACCT0001,PER202309,CIT,BILL,428703.61,KES,2023-09-01,FROZEN
FT0000020,ACCT0001,PER202309,CIT,PAY,-382097.93,KES,2023-10-05,FROZEN
FT0000021,ACCT0001,PER202212,CIT,BILL,463551.66,KES,2022-12-01,FROZEN
FT0000022,ACCT0001,PER202212,CIT,PEN,45689.56,KES,2023-01-21,FROZEN
FT0000023,ACCT0001,PER202303,CIT,BILL,203514.94,KES,2023-03-01,FROZEN
FT0000024,ACCT0001,PER202303,CIT,PAY,-148033.48,KES,2023-03-25,FROZEN
FT0000025,ACCT0002,PER202307,VAT,BILL,160234.38,KES,2023-07-01,FROZEN
FT0000026,ACCT0002,PER202307,VAT,PAY,-125955.94,KES,2023-08-03,FROZEN
FT0000027,ACCT0002,PER202307,VAT,PEN,23406.7,KES,2023-08-21,FROZEN
FT0000028,ACCT0002,PER202307,VAT,ADJ,-10068.33,KES,2023-07-31,FROZEN
FT0000029,ACCT0002,PER202404,VAT,BILL,299542.38,KES,2024-04-01,FROZEN
FT0000030,ACCT0002,PER202404,VAT,PAY,-192043.31,KES,2024-04-08,FROZEN
FT0000031,ACCT0002,PER202408,VAT,BILL,291564.93,KES,2024-08-01,FROZEN
FT0000032,ACCT0002,PER202408,VAT,PAY,-160124.56,KES,2024-09-12,FROZEN
FT0000033,ACCT0002,PER202210,VAT,BILL,467679.6,KES,2022-10-01,FROZEN
FT0000034,ACCT0002,PER202210,VAT,PAY,-434808.78,KES,2022-10-16,FROZEN
FT0000035,ACCT0002,PER202301,VAT,BILL,324522.89,KES,2023-01-01,FROZEN
FT0000036,ACCT0002,PER202301,VAT,PAY,-343154.07,KES,2023-01-05,FROZEN
FT0000037,ACCT0002,PER202301,VAT,PEN,36384.18,KES,2023-02-21,FROZEN
FT0000038,ACCT0002,PER202409,VAT,BILL,54490.72,KES,2024-09-01,FROZEN
FT0000039,ACCT0002,PER202409,VAT,PAY,-43784.97,KES,2024-09-09,FROZEN
FT0000040,ACCT0002,PER202207,VAT,BILL,440238.77,KES,2022-07-01,FROZEN
FT0000041,ACCT0002,PER202207,VAT,PAY,-261787.15,KES,2022-08-04,FROZEN
FT0000042,ACCT0002,PER202202,VAT,BILL,493680.37,KES,2022-02-01,FROZEN
FT0000043,ACCT0002,PER202202,VAT,PAY,-249157.45,KES,2022-03-08,FROZEN
FT0000044,ACCT0002,PER202412,VAT,BILL,469770.35,KES,2024-12-01,FROZEN
FT0000045,ACCT0002,PER202412,VAT,PAY,-267420.16,KES,2024-12-07,FROZEN
FT0000046,ACCT0002,PER202312,VAT,BILL,144469.35,KES,2023-12-01,FROZEN
FT0000047,ACCT0002,PER202312,VAT,PAY,-101956.09,KES,2024-01-13,FROZEN
FT0000048,ACCT0002,PER202306,VAT,BILL,246823.27,KES,2023-06-01,FROZEN
FT0000049,ACCT0002,PER202306,VAT,ADJ,-3772.66,KES,2023-06-30,FROZEN
FT0000050,ACCT0002,PER202405,VAT,BILL,141956.71,KES,2024-05-01,FROZEN
FT0000051,ACCT0002,PER202405,VAT,PAY,-136657.68,KES,2024-06-10,FROZEN
FT0000052,ACCT0002,PER202403,VAT,BILL,223708.58,KES,2024-03-01,FROZEN
FT0000053,ACCT0003,PER202210,CIT,BILL,180070.92,KES,2022-10-01,FROZEN
FT0000054,ACCT0003,PER202210,CIT,PAY,-184541.65,KES,2022-11-09,FROZEN
FT0000055,ACCT0003,PER202411,CIT,BILL,122184.98,KES,2024-11-01,FROZEN
FT0000056,ACCT0003,PER202411,CIT,PAY,-119733.0,KES,2024-11-12,FROZEN
FT0000057,ACCT0003,PER202411,CIT,ADJ,5780.93,KES,2024-11-30,FROZEN
FT0000058,ACCT0003,PER202203,CIT,BILL,169431.81,KES,2022-03-01,FROZEN
FT0000059,ACCT0003,PER202312,CIT,BILL,406320.91,KES,2023-12-01,FROZEN
FT0000060,ACCT0003,PER202312,CIT,PAY,-395116.49,KES,2023-12-07,FROZEN
FT0000061,ACCT0003,PER202312,CIT,ADJ,-2381.85,KES,2023-12-31,FROZEN
FT0000062,ACCT0003,PER202412,CIT,BILL,103788.55,KES,2024-12-01,FROZEN
FT0000063,ACCT0003,PER202302,CIT,BILL,436304.9,KES,2023-02-01,FROZEN
FT0000064,ACCT0003,PER202302,CIT,PAY,-390937.88,KES,2023-02-26,FROZEN
FT0000065,ACCT0003,PER202205,CIT,BILL,483610.11,KES,2022-05-01,FROZEN
FT0000066,ACCT0003,PER202205,CIT,PAY,-427941.29,KES,2022-05-26,FROZEN
FT0000067,ACCT0003,PER202202,CIT,BILL,168919.18,KES,2022-02-01,FROZEN
FT0000068,ACCT0003,PER202202,CIT,PAY,-173348.76,KES,2022-02-17,FROZEN
FT0000069,ACCT0003,PER202202,CIT,PEN,24705.01,KES,2022-03-21,FROZEN
FT0000070,ACCT0003,PER202408,CIT,BILL,58659.26,KES,2024-08-01,FROZEN
FT0000071,ACCT0003,PER202408,CIT,PAY,-54971.18,KES,2024-08-21,FROZEN
FT0000072,ACCT0003,PER202212,CIT,BILL,62244.66,KES,2022-12-01,FROZEN
FT0000073,ACCT0003,PER202212,CIT,PEN,3388.52,KES,2023-01-21,FROZEN
FT0000074,ACCT0003,PER202402,CIT,BILL,262360.57,KES,2024-02-01,FROZEN
FT0000075,ACCT0003,PER202405,CIT,BILL,369833.66,KES,2024-05-01,FROZEN
FT0000076,ACCT0003,PER202405,CIT,PAY,-280621.81,KES,2024-06-12,FROZEN
FT0000077,ACCT0003,PER202403,CIT,BILL,333376.8,KES,2024-03-01,FROZEN
FT0000078,ACCT0003,PER202403,CIT,PAY,-346721.24,KES,2024-04-02,FROZEN
FT0000079,ACCT0003,PER202207,CIT,BILL,204188.19,KES,2022-07-01,FROZEN
FT0000080,ACCT0003,PER202207,CIT,PAY,-117688.49,KES,2022-07-27,FROZEN
FT0000081,ACCT0003,PER202310,CIT,BILL,375326.61,KES,2023-10-01,FROZEN
FT0000082,ACCT0003,PER202310,CIT,PAY,-315823.51,KES,2023-10-26,FROZEN
FT0000083,ACCT0003,PER202310,CIT,ADJ,-15995.39,KES,2023-10-31,FROZEN
FT0000084,ACCT0003,PER202208,CIT,BILL,217794.63,KES,2022-08-01,FROZEN
FT0000085,ACCT0003,PER202208,CIT,PAY,-194452.14,KES,2022-08-30,FROZEN
FT0000086,ACCT0003,PER202204,CIT,BILL,258031.13,KES,2022-04-01,FROZEN
FT0000087,ACCT0004,PER202206,VAT,BILL,492048.33,KES,2022-06-01,FROZEN
FT0000088,ACCT0004,PER202206,VAT,PAY,-472904.5,KES,2022-06-30,FROZEN
FT0000089,ACCT0004,PER202307,VAT,BILL,101245.44,KES,2023-07-01,FROZEN
FT0000090,ACCT0004,PER202307,VAT,PAY,-80654.78,KES,2023-07-16,FROZEN
FT0000091,ACCT0004,PER202307,VAT,PEN,12024.14,KES,2023-08-21,FROZEN
FT0000092,ACCT0004,PER202409,VAT,BILL,430918.08,KES,2024-09-01,FROZEN
FT0000093,ACCT0004,PER202310,VAT,BILL,403034.38,KES,2023-10-01,FROZEN
FT0000094,ACCT0004,PER202310,VAT,PAY,-313854.93,KES,2023-11-05,FROZEN
FT0000095,ACCT0004,PER202412,VAT,BILL,230948.6,KES,2024-12-01,FROZEN
