payment_id,account_id,ft_id,payment_date,amount,currency_cd,payment_method,reference_no,status
PAY000001,ACCT0001,FT0000002,2024-10-05,292134.96,KES,ONLINE,REF390119,MATCHED
PAY000002,ACCT0001,FT0000004,2024-05-11,64518.33,KES,MOBILE_MONEY,REF812591,MATCHED
PAY000003,ACCT0001,FT0000008,2023-03-07,205334.8,KES,ONLINE,REF585331,UNMATCHED
PAY000004,ACCT0001,FT0000012,2023-08-30,39955.28,KES,CHEQUE,REF912402,MATCHED
PAY000005,ACCT0001,FT0000015,2024-09-07,304369.52,KES,ONLINE,REF678469,MATCHED
PAY000006,ACCT0001,FT0000017,2023-10-16,151480.35,KES,MOBILE_MONEY,REF776909,MATCHED
PAY000007,ACCT0001,FT0000020,2023-10-05,382097.93,KES,CHEQUE,REF966589,MATCHED
PAY000008,ACCT0001,FT0000024,2023-03-25,148033.48,KES,MOBILE_MONEY,REF376021,MATCHED
PAY000009,ACCT0002,FT0000026,2023-08-03,125955.94,KES,BANK_TRANSFER,REF119535,MATCHED
PAY000010,ACCT0002,FT0000030,2024-04-08,192043.31,KES,ONLINE,REF906564,MATCHED
PAY000011,ACCT0002,FT0000032,2024-09-12,160124.56,KES,BANK_TRANSFER,REF678388,MATCHED
PAY000012,ACCT0002,FT0000034,2022-10-16,434808.78,KES,ONLINE,REF785672,MATCHED
PAY000013,ACCT0002,FT0000036,2023-01-05,343154.07,KES,CHEQUE,REF511564,MATCHED
PAY000014,ACCT0002,FT0000039,2024-09-09,43784.97,KES,CHEQUE,REF240384,UNMATCHED
PAY000015,ACCT0002,FT0000041,2022-08-04,261787.15,KES,BANK_TRANSFER,REF516059,MATCHED
PAY000016,ACCT0002,FT0000043,2022-03-08,249157.45,KES,BANK_TRANSFER,REF794868,MATCHED
PAY000017,ACCT0002,FT0000045,2024-12-07,267420.16,KES,MOBILE_MONEY,REF893988,MATCHED
PAY000018,ACCT0002,FT0000047,2024-01-13,101956.09,KES,ONLINE,REF266956,MATCHED
PAY000019,ACCT0002,FT0000051,2024-06-10,136657.68,KES,MOBILE_MONEY,REF871667,UNMATCHED
PAY000020,ACCT0003,FT0000054,2022-11-09,184541.65,KES,CHEQUE,REF142383,MATCHED
PAY000021,ACCT0003,FT0000056,2024-11-12,119733.0,KES,ONLINE,REF343007,MATCHED
PAY000022,ACCT0003,FT0000060,2023-12-07,395116.49,KES,CHEQUE,REF487380,MATCHED
PAY000023,ACCT0003,FT0000064,2023-02-26,390937.88,KES,BANK_TRANSFER,REF801062,MATCHED
PAY000024,ACCT0003,FT0000066,2022-05-26,427941.29,KES,CHEQUE,REF506945,UNMATCHED
PAY000025,ACCT0003,FT0000068,2022-02-17,173348.76,KES,ONLINE,REF148693,MATCHED
PAY000026,ACCT0003,FT0000071,2024-08-21,54971.18,KES,CHEQUE,REF208239,MATCHED
PAY000027,ACCT0003,FT0000076,2024-06-12,280621.81,KES,CHEQUE,REF706739,MATCHED
PAY000028,ACCT0003,FT0000078,2024-04-02,346721.24,KES,ONLINE,REF785428,UNMATCHED
PAY000029,ACCT0003,FT0000080,2022-07-27,117688.49,KES,CHEQUE,REF716225,MATCHED
PAY000030,ACCT0003,FT0000082,2023-10-26,315823.51,KES,CHEQUE,REF494609,MATCHED
PAY000031,ACCT0003,FT0000085,2022-08-30,194452.14,KES,ONLINE,REF470040,MATCHED
PAY000032,ACCT0004,FT0000088,2022-06-30,472904.5,KES,ONLINE,REF931161,UNMATCHED
PAY000033,ACCT0004,FT0000090,2023-07-16,80654.78,KES,BANK_TRANSFER,REF626214,MATCHED
PAY000034,ACCT0004,FT0000094,2023-11-05,313854.93,KES,ONLINE,REF273650,MATCHED
PAY000035,ACCT0004,FT0000098,2024-02-05,360441.82,KES,BANK_TRANSFER,REF639535,MATCHED
PAY000036,ACCT0004,FT0000100,2022-09-10,410327.93,KES,MOBILE_MONEY,REF257538,MATCHED
PAY000037,ACCT0004,FT0000102,2024-11-15,187066.18,KES,MOBILE_MONEY,REF479818,MATCHED
PAY000038,ACCT0004,FT0000104,2022-10-15,95182.38,KES,MOBILE_MONEY,REF534753,MATCHED
PAY000039,ACCT0004,FT0000106,2024-05-30,77471.51,KES,BANK_TRANSFER,REF604906,UNMATCHED
PAY000040,ACCT0004,FT0000112,2022-02-15,323249.3,KES,ONLINE,REF320939,MATCHED
PAY000041,ACCT0004,FT0000114,2024-02-26,221178.45,KES,ONLINE,REF123536,MATCHED
PAY000042,ACCT0005,FT0000116,2024-11-21,284804.68,KES,BANK_TRANSFER,REF234097,MATCHED
PAY000043,ACCT0005,FT0000118,2022-02-27,363178.7,KES,MOBILE_MONEY,REF760120,MATCHED
PAY000044,ACCT0005,FT0000122,2024-12-16,373119.76,KES,MOBILE_MONEY,REF158627,MATCHED
PAY000045,ACCT0005,FT0000125,2022-06-14,56573.48,KES,CHEQUE,REF288783,UNMATCHED
PAY000046,ACCT0005,FT0000127,2023-10-16,202281.34,KES,BANK_TRANSFER,REF854500,MATCHED
PAY000047,ACCT0005,FT0000130,2023-03-16,40205.8,KES,BANK_TRANSFER,REF327114,UNMATCHED
PAY000048,ACCT0005,FT0000132,2022-06-10,402850.76,KES,ONLINE,REF605065,MATCHED
PAY000049,ACCT0006,FT0000137,2023-12-05,475627.0,KES,MOBILE_MONEY,REF970699,UNMATCHED
PAY000050,ACCT0006,FT0000139,2024-04-16,286879.23,KES,MOBILE_MONEY,REF933215,MATCHED
PAY000051,ACCT0006,FT0000142,2023-12-25,108891.96,KES,CHEQUE,REF275868,MATCHED
