account_id,taxpayer_name,tax_type_cd,district,registration_date,status
ACCT0001,Company 1 Ltd,CIT,Nairobi,2018-02-21,ACTIVE
ACCT0002,Company 2 Ltd,VAT,Mombasa,2018-10-13,ACTIVE
ACCT0003,Company 3 Ltd,CIT,Eldoret,2018-06-28,INACTIVE
ACCT0004,Company 4 Ltd,VAT,Nairobi,2018-07-11,ACTIVE
ACCT0005,Company 5 Ltd,VAT,Eldoret,2021-05-17,ACTIVE
ACCT0006,Company 6 Ltd,CIT,Mombasa,2022-01-06,INACTIVE
ACCT0007,Company 7 Ltd,VAT,Nakuru,2021-04-21,ACTIVE
ACCT0008,Company 8 Ltd,VAT,Mombasa,2021-11-30,INACTIVE
ACCT0009,Company 9 Ltd,PAYE,Kisumu,2018-11-15,ACTIVE
ACCT0010,Company 10 Ltd,PAYE,Nairobi,2018-07-09,INACTIVE
ACCT0011,Company 11 Ltd,VAT,Kisumu,2022-10-02,ACTIVE
ACCT0012,Company 12 Ltd,CIT,Kisumu,2022-07-11,ACTIVE
ACCT0013,Company 13 Ltd,CIT,Nakuru,2021-01-03,ACTIVE
ACCT0014,Company 14 Ltd,PAYE,Nairobi,2021-02-04,ACTIVE
ACCT0015,Company 15 Ltd,CIT,Eldoret,2022-12-19,ACTIVE
ACCT0016,Company 16 Ltd,CIT,Mombasa,2021-12-13,ACTIVE
ACCT0017,Company 17 Ltd,VAT,Mombasa,2022-05-03,ACTIVE
ACCT0018,Company 18 Ltd,VAT,Mombasa,2022-11-10,ACTIVE
ACCT0019,Company 19 Ltd,PAYE,Kisumu,2020-07-17,ACTIVE
ACCT0020,Company 20 Ltd,VAT,Kisumu,2019-12-29,ACTIVE
ACCT0021,Company 21 Ltd,CIT,Kisumu,2021-12-08,ACTIVE
ACCT0022,Company 22 Ltd,CIT,Mombasa,2020-12-29,ACTIVE
ACCT0023,Company 23 Ltd,VAT,Nakuru,2020-02-17,ACTIVE
ACCT0024,Company 24 Ltd,CIT,Eldoret,2019-03-26,ACTIVE
ACCT0025,Company 25 Ltd,VAT,Mombasa,2022-08-11,ACTIVE
ACCT0026,Company 26 Ltd,PAYE,Nakuru,2019-07-03,ACTIVE
ACCT0027,Company 27 Ltd,VAT,Eldoret,2022-11-30,ACTIVE
ACCT0028,Company 28 Ltd,VAT,Nakuru,2020-03-21,INACTIVE
ACCT0029,Company 29 Ltd,VAT,Kisumu,2018-10-13,ACTIVE
ACCT0030,Company 30 Ltd,CIT,Eldoret,2021-01-08,ACTIVE
ACCT0031,Company 31 Ltd,CIT,Eldoret,2020-05-27,INACTIVE
ACCT0032,Company 32 Ltd,PAYE,Mombasa,2018-10-11,INACTIVE
ACCT0033,Company 33 Ltd,VAT,Nairobi,2022-10-30,ACTIVE
ACCT0034,Company 34 Ltd,VAT,Mombasa,2022-06-11,INACTIVE
ACCT0035,Company 35 Ltd,CIT,Nairobi,2020-02-28,INACTIVE
ACCT0036,Company 36 Ltd,CIT,Nakuru,2020-12-19,ACTIVE
ACCT0037,Company 37 Ltd,CIT,Nairobi,2021-10-25,ACTIVE
ACCT0038,Company 38 Ltd,CIT,Eldoret,2022-03-18,ACTIVE
ACCT0039,Company 39 Ltd,CIT,Kisumu,2018-08-17,ACTIVE
ACCT0040,Company 40 Ltd,PAYE,Mombasa,2020-07-18,ACTIVE
ACCT0041,Company 41 Ltd,CIT,Kisumu,2020-10-22,ACTIVE
ACCT0042,Company 42 Ltd,CIT,Nairobi,2022-11-18,ACTIVE
ACCT0043,Company 43 Ltd,CIT,Eldoret,2021-06-01,ACTIVE
ACCT0044,Company 44 Ltd,VAT,Kisumu,2022-04-11,ACTIVE
ACCT0045,Company 45 Ltd,CIT,Eldoret,2018-01-02,ACTIVE
ACCT0046,Company 46 Ltd,PAYE,Nairobi,2018-08-18,ACTIVE
ACCT0047,Company 47 Ltd,PAYE,Mombasa,2018-04-29,ACTIVE
ACCT0048,Company 48 Ltd,CIT,Nairobi,2018-06-25,INACTIVE
ACCT0049,Company 49 Ltd,VAT,Eldoret,2022-04-18,ACTIVE
ACCT0050,Company 50 Ltd,VAT,Nakuru,2021-01-30,ACTIVE
